CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
TOTAL	Total	Total	Insgesamt	Y	
TOT_X_CP041_042	Total except actual rents	Total sauf les loyers réels	Insgesamt ohne tatsächlich gezahlte Mieten	Y	
CP00_X_042	All items HICP excluding imputed rentals for housing	Ensemble ICPH excluant le loyer d'habitation imputés	Gesamt-HVPI ohne Unterstellte Mieten für Wohnungen	Y	
CP00	All-items HICP	Ensemble ICPH	Gesamt-HVPI	Y	
CP01	Food and non-alcoholic beverages	Produits alimentaires et boissons non alcoolisées	Nahrungsmittel und alkoholfreie Getränke	Y	
CP011	Food	Produits alimentaires	Nahrungsmittel	Y	
CP0111	Bread and cereals	Pain et céréales	Brot und Getreideerzeugnisse	Y	
CP01111	Rice	Riz	Reis	Y	
CP01111A	Long-grain rice (1 kg)	Riz à grains longs (1 kg)	Langkornreis (1 kg)	Y	
CP01112	Flours and other cereals	Farines et autres céréales	Mehl und anderes Getreide	Y	
CP01112A	Wheat flour (1 kg)	Farine de blé (1 kg)	Weizenmehl (1 kg)	Y	
CP01112B	Cornflakes (1 kg)	Flocons de maïs (1 kg)	Cornflakes (1 kg)	Y	
CP01113	Bread	Pain	Brot	Y	
CP01113A	White bread, loaf (1 kg)	Pain blanc, miche (1 kg)	Weißbrot, Laib (1 kg)	Y	
CP01114	Other bakery products	Autres produits de boulangerie	Feingebäck	Y	
CP01115	Pizza and quiche	Pizza et quiche	Pizza und Quiche	Y	
CP01115A	Pizza, frozen (500 g)	Pizza surgelée (500 g)	Pizza, gefroren (500 g)	Y	
CP01116	Pasta products and couscous	Pâtes alimentaires et couscous	Teigwaren und Couscous	Y	
CP01116A	Pasta, without eggs (1 kg)	Pâtes, sans oeufs (1 kg)	Nudeln, ohne Eier (1 kg)	Y	
CP01117	Breakfast cereals	Céréales pour petit déjeuner	Frühstücksflocken	Y	
CP01118	Other cereal products	Autres produits céréaliers	Sonstige Getreideerzeugnisse	Y	
CP0112	Meat	Viande	Fleisch	Y	
CP01121	Beef and veal	Boeuf et veau	Rind und Kalb	Y	
CP01121A	Beef, minced (1 kg)	Boeuf haché (1 kg)	Hackfleisch (Rind) (1 kg)	Y	
CP01122	Pork	Porc	Schwein	Y	
CP01122A	Pork, cutlet ("escalope") (1 kg)	Escalope de porc (1 kg)	Schweineschnitzel (1 kg)	Y	
CP01122B	Pork, loin chop (B2) (1 kg)	Côtelette de porc (1 kg)	Schweinefleisch, Kotelett (1kg)	Y	
CP01123	Lamb and goat	Agneau et chèvre	Schaf und Ziege	Y	
CP01124	Poultry	Volaille	Geflügel	Y	
CP01124A	Whole chicken (1 kg)	Poulet entier (1 kg)	Ganzes Hähnchen (1 kg)	Y	
CP01124B	Chicken breast, fillets (1 kg)	Filets de poitrine de poulet (1 kg)	Hähnchenbrustfilet (1 kg)	Y	
CP01125	Other meats	Autres viandes	Sonstiges Fleisch	Y	
CP01126_01127	Dried, salted or smoked meat and edible meat offal	Viande séchée, salée ou fumée et abats comestibles	Fleisch und eßbare Fleischabfälle, getrocknet, gesalzen oder geräuchert	Y	
CP01126	Edible offal	Abats comestibles	Eßbare Fleischabfälle	Y	
CP01127	Dried, salted or smoked meat	Viande séchée, salée ou fumée	Fleisch: getrocknet, gesalzen oder geräuchert	Y	
